Root,Candidate Language,Candidate Meaning,Confidence
okara,Medieval/Latin,heart (via okor),0.4
okara,Medieval/Latin,heart (via ykar),0.4
okara,Medieval/Latin,heart (via kor),0.4
okara,Medieval/Latin,cure (via okar),0.4
okara,Medieval/Latin,cure (via kar),0.4
okara,Medieval/Latin,cure (via okor),0.4
okara,Medieval/Latin,cure (via ykar),0.4
okara,Medieval/Latin,cure (via kor),0.4
okara,Proto-Romance,cuore (heart),0.4
okara,Proto-Romance,cura (cure),0.4
okara,Latin,cor/cura (heart/cure),0.4
eodal,Latin,dolor (pain),0.4
epal,Proto-Romance,pelle (skin),0.4
soear,Medieval/Latin,barley (via sar),0.4
soear,Medieval/Latin,barley (via sor),0.4
soear,Medieval/Latin,barley (via sair),0.4
soear,Medieval/Latin,barley (via sary),0.4
soear,Medieval/Latin,barley (via saiir),0.4
oker,Medieval/Latin,heart (via okar),0.4
oker,Medieval/Latin,heart (via kar),0.4
oker,Medieval/Latin,heart (via okor),0.4
oker,Medieval/Latin,heart (via ykar),0.4
oker,Medieval/Latin,heart (via kor),0.4
oker,Medieval/Latin,cure (via okar),0.4
oker,Medieval/Latin,cure (via kar),0.4
oker,Medieval/Latin,cure (via okor),0.4
oker,Medieval/Latin,cure (via ykar),0.4
oker,Medieval/Latin,cure (via kor),0.4
oker,Proto-Romance,cuore (heart),0.4
oker,Proto-Romance,cura (cure),0.4
oker,Latin,cor/cura (heart/cure),0.4
keiin,Medieval/Latin,priest (via okaiin),0.4
keiin,Medieval/Latin,priest (via okain),0.4
keiin,Medieval/Latin,priest (via kaiin),0.4
qoree,Latin Abbrev,con-/com- prefix,0.4
qokap,Latin Abbrev,con-/com- prefix,0.4
qokes,Latin Abbrev,con-/com- prefix,0.4
qopsh,Latin Abbrev,con-/com- prefix,0.4
qokef,Latin Abbrev,con-/com- prefix,0.4
qoklain,Latin Abbrev,con-/com- prefix,0.4
qore,Latin Abbrev,con-/com- prefix,0.4
qkal,Latin Abbrev,con-/com- prefix,0.4
qche,Latin Abbrev,con-/com- prefix,0.4
ykeer,Medieval/Latin,heart (via okar),0.4
ykeer,Medieval/Latin,heart (via kar),0.4
ykeer,Medieval/Latin,heart (via okor),0.4
ykeer,Medieval/Latin,heart (via ykar),0.4
ykeer,Medieval/Latin,heart (via kor),0.4
ykeer,Medieval/Latin,cure (via okar),0.4
ykeer,Medieval/Latin,cure (via kar),0.4
ykeer,Medieval/Latin,cure (via okor),0.4
ykeer,Medieval/Latin,cure (via ykar),0.4
ykeer,Medieval/Latin,cure (via kor),0.4
ykeer,Proto-Romance,cuore (heart),0.4
ykeer,Proto-Romance,cura (cure),0.4
ykeer,Latin,cor/cura (heart/cure),0.4
okaro,Medieval/Latin,heart (via okar),0.4
okaro,Medieval/Latin,heart (via kar),0.4
okaro,Medieval/Latin,heart (via okor),0.4
okaro,Medieval/Latin,heart (via ykar),0.4
okaro,Medieval/Latin,heart (via kor),0.4
okaro,Medieval/Latin,cure (via okar),0.4
okaro,Medieval/Latin,cure (via kar),0.4
okaro,Medieval/Latin,cure (via okor),0.4
okaro,Medieval/Latin,cure (via ykar),0.4
okaro,Medieval/Latin,cure (via kor),0.4
okaro,Proto-Romance,cuore (heart),0.4
okaro,Proto-Romance,cura (cure),0.4
okaro,Latin,cor/cura (heart/cure),0.4
qoteil,Latin Abbrev,con-/com- prefix,0.4
qokiiin,Latin Abbrev,con-/com- prefix,0.4
qokede,Latin Abbrev,con-/com- prefix,0.4
okiiin,Medieval/Latin,priest (via okaiin),0.4
okiiin,Medieval/Latin,priest (via okain),0.4
okiiin,Medieval/Latin,priest (via kaiin),0.4
okaira,Medieval/Latin,heart (via okar),0.4
okaira,Medieval/Latin,heart (via kar),0.4
okaira,Medieval/Latin,heart (via okor),0.4
okaira,Medieval/Latin,heart (via ykar),0.4
okaira,Medieval/Latin,heart (via kor),0.4
okaira,Medieval/Latin,cure (via okar),0.4
okaira,Medieval/Latin,cure (via kar),0.4
okaira,Medieval/Latin,cure (via okor),0.4
okaira,Medieval/Latin,cure (via ykar),0.4
okaira,Medieval/Latin,cure (via kor),0.4
okaira,Proto-Romance,cuore (heart),0.4
okaira,Proto-Romance,cura (cure),0.4
okaira,Latin,cor/cura (heart/cure),0.4
ator,Medieval/Latin,earth (via otar),0.4
ator,Medieval/Latin,earth (via tar),0.4
ator,Medieval/Latin,earth (via otor),0.4
ator,Medieval/Latin,earth (via tor),0.4
ator,Medieval/Latin,earth (via ytar),0.4
ator,Proto-Romance,terra (earth),0.4
ator,Latin,terra (earth),0.4
qokedyl,Latin Abbrev,con-/com- prefix,0.4
qoeea,Latin Abbrev,con-/com- prefix,0.4
qoklr,Latin Abbrev,con-/com- prefix,0.4
qokeer,Latin Abbrev,con-/com- prefix,0.4
qopcha,Latin Abbrev,con-/com- prefix,0.4
qosee,Latin Abbrev,con-/com- prefix,0.4
qoral,Latin Abbrev,con-/com- prefix,0.4
qtche,Latin Abbrev,con-/com- prefix,0.4
oteer,Medieval/Latin,earth (via otar),0.4
oteer,Medieval/Latin,earth (via tar),0.4
oteer,Medieval/Latin,earth (via otor),0.4
oteer,Medieval/Latin,earth (via tor),0.4
oteer,Medieval/Latin,earth (via ytar),0.4
oteer,Proto-Romance,terra (earth),0.4
oteer,Latin,terra (earth),0.4
qokeog,Latin Abbrev,con-/com- prefix,0.4
qokeoj,Latin Abbrev,con-/com- prefix,0.4
qokeoda,Latin Abbrev,con-/com- prefix,0.4
qoackh,Latin Abbrev,con-/com- prefix,0.4
qnkee,Latin Abbrev,con-/com- prefix,0.4
qekeo,Latin Abbrev,con-/com- prefix,0.4
qkhe,Latin Abbrev,con-/com- prefix,0.4
qotchs,Latin Abbrev,con-/com- prefix,0.4
qykee,Latin Abbrev,con-/com- prefix,0.4
qodche,Latin Abbrev,con-/com- prefix,0.4
qkeeo,Latin Abbrev,con-/com- prefix,0.4
qekeor,Latin Abbrev,con-/com- prefix,0.4
qokte,Latin Abbrev,con-/com- prefix,0.4
qooiin,Latin Abbrev,con-/com- prefix,0.4
qckhe,Latin Abbrev,con-/com- prefix,0.4
qoepch,Latin Abbrev,con-/com- prefix,0.4
qekeee,Latin Abbrev,con-/com- prefix,0.4
qckhee,Latin Abbrev,con-/com- prefix,0.4
qodch,Latin Abbrev,con-/com- prefix,0.4
qedaiin,Latin Abbrev,con-/com- prefix,0.4
qokok,Latin Abbrev,con-/com- prefix,0.4
qonche,Latin Abbrev,con-/com- prefix,0.4
qek,Latin Abbrev,con-/com- prefix,0.4
qokea,Latin Abbrev,con-/com- prefix,0.4
qoeche,Latin Abbrev,con-/com- prefix,0.4
oteain,Medieval/Latin,fig (via otaiin),0.4
oteain,Medieval/Latin,fig (via taiin),0.4
oteain,Medieval/Latin,fig (via ytaiin),0.4
oteain,Medieval/Latin,fig (via otain),0.4
oteain,Medieval/Latin,fig (via otan),0.4
oteiin,Medieval/Latin,fig (via otaiin),0.4
oteiin,Medieval/Latin,fig (via taiin),0.4
oteiin,Medieval/Latin,fig (via ytaiin),0.4
oteiin,Medieval/Latin,fig (via otain),0.4
oteiin,Medieval/Latin,fig (via otan),0.4
qokchl,Latin Abbrev,con-/com- prefix,0.4
qoteoa,Latin Abbrev,con-/com- prefix,0.4
otairo,Medieval/Latin,earth (via otar),0.4
otairo,Medieval/Latin,earth (via tar),0.4
otairo,Medieval/Latin,earth (via otor),0.4
otairo,Medieval/Latin,earth (via tor),0.4
otairo,Medieval/Latin,earth (via ytar),0.4
otairo,Proto-Romance,terra (earth),0.4
otairo,Latin,terra (earth),0.4
qaiiin,Latin Abbrev,con-/com- prefix,0.4
otiiin,Medieval/Latin,fig (via otaiin),0.4
otiiin,Medieval/Latin,fig (via taiin),0.4
otiiin,Medieval/Latin,fig (via ytaiin),0.4
otiiin,Medieval/Latin,fig (via otain),0.4
otiiin,Medieval/Latin,fig (via otan),0.4
qopee,Latin Abbrev,con-/com- prefix,0.4
qtee,Latin Abbrev,con-/com- prefix,0.4
qooch,Latin Abbrev,con-/com- prefix,0.4
qooee,Latin Abbrev,con-/com- prefix,0.4
keer,Medieval/Latin,heart (via okar),0.4
keer,Medieval/Latin,heart (via kar),0.4
keer,Medieval/Latin,heart (via okor),0.4
keer,Medieval/Latin,heart (via ykar),0.4
keer,Medieval/Latin,heart (via kor),0.4
keer,Medieval/Latin,cure (via okar),0.4
keer,Medieval/Latin,cure (via kar),0.4
keer,Medieval/Latin,cure (via okor),0.4
keer,Medieval/Latin,cure (via ykar),0.4
keer,Medieval/Latin,cure (via kor),0.4
keer,Proto-Romance,cuore (heart),0.4
keer,Proto-Romance,cura (cure),0.4
keer,Latin,cor/cura (heart/cure),0.4
qotc,Latin Abbrev,con-/com- prefix,0.4
qokf,Latin Abbrev,con-/com- prefix,0.4
qotad,Latin Abbrev,con-/com- prefix,0.4
qotdaiin,Latin Abbrev,con-/com- prefix,0.4
qopchyr,Latin Abbrev,con-/com- prefix,0.4
qorar,Latin Abbrev,con-/com- prefix,0.4
